Rank	Sede	Data	Gruppo	Team	Progetto	Totale	Completezza	Qualità	Innovatività	Presentabilità	Impatto	Valutazione	Deliverable	Note
1	Livorno	2026-02-11	G1	-	Atti Amministrativi	9.0	9.5	9.0	9.5	8.0	9.0	LIVORNO/Gruppo_1_Atti_Amministrativi/valutazione.html	LIVORNO/Gruppo_1_Atti_Amministrativi/deliverable.html	Restituzione grafica HTML in fase di valutazione
2	Livorno	2026-02-11	G4	-	Comunicazione Social	8.6	8.5	9.0	8.5	9.0	8.0	LIVORNO/Gruppo_4_Comunicazione_Social/valutazione.html	LIVORNO/Gruppo_4_Comunicazione_Social/dashboard_moderazione_social.html
3	Arezzo	2026-01-20	G2	-	Gestione Segnalazioni	8.5	8.5	9.0	8.5	8.5	8.0	AREZZO/Gruppo_2_Gestione_Segnalazioni/valutazione.html	AREZZO/Gruppo_2_Gestione_Segnalazioni/gruppo2.html
4	Arezzo	2026-01-20	G3	-	Revisione Regolamenti	8.3	8.5	8.5	8.0	8.5	8.0	AREZZO/Gruppo_3_Revisione_Regolamenti/valutazione.html	AREZZO/Gruppo_3_Revisione_Regolamenti/index.html
4	Livorno	2026-02-11	G5	-	Protocollo Segnalazioni	8.3	8.5	8.2	7.5	9.0	8.5	LIVORNO/Gruppo_5_Protocollo_Segnalazioni/valutazione.html	LIVORNO/Gruppo_5_Protocollo_Segnalazioni/Gruppo5-Output.html
6	Livorno	2026-02-11	G3	-	Tributi e Allegati	8.1	8.5	8.0	7.5	8.0	8.5	LIVORNO/Gruppo_3_Tributi_Allegati/valutazione.html	LIVORNO/Gruppo_3_Tributi_Allegati/report_bando_tari.html
6	Livorno	2026-02-11	G7	-	Rifiuti e Territorio	8.1	8.5	8.0	7.5	7.8	8.5	LIVORNO/Gruppo_7_Rifiuti_Territorio/valutazione.html	LIVORNO/Gruppo_7_Rifiuti_Territorio/report_rifiuti.html
8	Firenze	2026-02-26	G4	Team Mary Oliver	I Cantieri Trasparenti	8.0	8.5	8.0	7.5	8.0	8.0	FIRENZE/Gruppo_4_Cantieri_Trasparenti/valutazione.html	FIRENZE/Gruppo_4_Cantieri_Trasparenti/deliverable.html
9	Firenze	2026-02-26	G2	Team Leonardo	Il Postino Intelligente	7.9	8.0	8.0	8.0	7.5	8.5	FIRENZE/Gruppo_2_Postino_Intelligente/valutazione.html	FIRENZE/Gruppo_2_Postino_Intelligente/deliverable.html	Restituzione grafica HTML in fase di valutazione
10	Firenze	2026-02-26	G1	Team Dante	L'Oracolo dell'Ufficio	7.8	8.0	8.0	7.5	7.0	8.5	FIRENZE/Gruppo_1_Oracolo_Ufficio/valutazione.html	FIRENZE/Gruppo_1_Oracolo_Ufficio/deliverable.html
11	Firenze	2026-02-26	G3	Team Machiavelli	Gli Acchiappabug	7.4	7.5	7.5	7.0	7.0	8.0	FIRENZE/Gruppo_3_Acchiappabug/valutazione.html	FIRENZE/Gruppo_3_Acchiappabug/deliverable.html
11	Firenze	2026-02-26	G5	Team Michelangelo	Lo Smistatore Civico	7.4	7.5	7.5	6.5	7.5	8.0	FIRENZE/Gruppo_5_Smistatore_Civico/valutazione.html	FIRENZE/Gruppo_5_Smistatore_Civico/deliverable.html
13	Arezzo	2026-01-20	G1	-	VAS Sintesi Normativa	7.1	7.0	7.5	6.5	7.5	7.0	AREZZO/Gruppo_1_VAS_Sintesi_Normativa/valutazione.html	AREZZO/Gruppo_1_VAS_Sintesi_Normativa/gruppo1.html
